sample_id,protocol,scenario,client_name,client_ip,server_name,server_ip,client_buffer_bytes,server_buffer_bytes,duration,avg_bps,total_bytes,total_packets,total_lost_or_retrans,packet_loss_rate,avg_jitter_ms,avg_rtt_ms,bdp_bytes,congestion_level,recommended_buffer_bytes,file_path
1,tcp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,236619562.97,887323361,612792,58,0.0,0.0,4.093131,121064,high,242128,./data/tcp_test_realistic/A/iperf_tcp_sample_000001_leaf01_to_leaf02_A.json
2,tcp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,235000000.0,881250000,608598,0,0.0,0.0,4.089284,120122,medium,240244,./data/tcp_test_realistic/A/iperf_tcp_sample_000002_leaf01_to_leaf02_A.json
3,tcp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,227930569.9,854739637,590289,222,0.0,0.0,4.205704,119826,high,239652,./data/tcp_test_realistic/A/iperf_tcp_sample_000003_leaf01_to_leaf02_A.json
4,tcp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,214956867.43,806088252,556690,184,0.0,0.0,4.439342,119283,high,238566,./data/tcp_test_realistic/A/iperf_tcp_sample_000004_leaf01_to_leaf03_A.json
5,tcp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,235000000.0,881250000,608598,0,0.0,0.0,4.011919,117850,medium,235700,./data/tcp_test_realistic/A/iperf_tcp_sample_000005_leaf01_to_leaf03_A.json
6,tcp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,235000000.0,881250000,608598,0,0.0,0.0,4.202142,123437,medium,246874,./data/tcp_test_realistic/A/iperf_tcp_sample_000006_leaf01_to_leaf03_A.json
7,tcp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,235000000.0,881250000,608598,0,0.0,0.0,4.079535,119836,medium,239672,./data/tcp_test_realistic/A/iperf_tcp_sample_000007_leaf01_to_leaf04_A.json
8,tcp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,235659553.22,883723324,610306,125,0.0,0.0,4.103803,120887,high,241774,./data/tcp_test_realistic/A/iperf_tcp_sample_000008_leaf01_to_leaf04_A.json
9,tcp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,235000000.0,881250000,608598,0,0.0,0.0,4.235706,124423,medium,248846,./data/tcp_test_realistic/A/iperf_tcp_sample_000009_leaf01_to_leaf04_A.json
10,tcp,A,leaf01,192.168.200.7,leaf05,192.168.200.11,2097152,262144,30,221709418.98,831410321,574178,125,0.0,0.0,4.307907,119387,high,238774,./data/tcp_test_realistic/A/iperf_tcp_sample_000010_leaf01_to_leaf05_A.json
