sample_id,protocol,scenario,client_name,client_ip,server_name,server_ip,client_buffer_bytes,server_buffer_bytes,duration,avg_bps,total_bytes,total_packets,total_lost_or_retrans,packet_loss_rate,avg_jitter_ms,congestion_level,recommended_buffer_bytes,file_path
1,udp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,250000000.0,937500000,1035911,111,0.000108,4.432575,low,65536,./data/udp_test/A/iperf_udp_sample_000001_leaf01_to_leaf02_A.json
2,udp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,250000000.0,937500000,1035911,271,0.000263,4.226805,low,65536,./data/udp_test/A/iperf_udp_sample_000002_leaf01_to_leaf02_A.json
3,udp,A,leaf01,192.168.200.7,leaf02,192.168.200.8,2097152,65536,30,250000000.0,937500000,1035911,355,0.000343,4.361783,low,65536,./data/udp_test/A/iperf_udp_sample_000003_leaf01_to_leaf02_A.json
4,udp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,250000000.0,937500000,1035911,960,0.000927,4.005259,low,65536,./data/udp_test/A/iperf_udp_sample_000004_leaf01_to_leaf03_A.json
5,udp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,250000000.0,937500000,1035911,624,0.000603,4.167931,low,65536,./data/udp_test/A/iperf_udp_sample_000005_leaf01_to_leaf03_A.json
6,udp,A,leaf01,192.168.200.7,leaf03,192.168.200.9,2097152,65536,30,250000000.0,937500000,1035911,897,0.000866,4.384305,low,65536,./data/udp_test/A/iperf_udp_sample_000006_leaf01_to_leaf03_A.json
7,udp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,250000000.0,937500000,1035911,654,0.000632,4.199804,low,65536,./data/udp_test/A/iperf_udp_sample_000007_leaf01_to_leaf04_A.json
8,udp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,250000000.0,937500000,1035911,452,0.000437,4.214741,low,65536,./data/udp_test/A/iperf_udp_sample_000008_leaf01_to_leaf04_A.json
9,udp,A,leaf01,192.168.200.7,leaf04,192.168.200.10,2097152,2097152,30,250000000.0,937500000,1035911,450,0.000435,4.045362,low,65536,./data/udp_test/A/iperf_udp_sample_000009_leaf01_to_leaf04_A.json
10,udp,A,leaf01,192.168.200.7,leaf05,192.168.200.11,2097152,262144,30,250000000.0,937500000,1035911,267,0.000258,4.275058,low,65536,./data/udp_test/A/iperf_udp_sample_000010_leaf01_to_leaf05_A.json
11,udp,A,leaf01,192.168.200.7,leaf05,192.168.200.11,2097152,262144,30,250000000.0,937500000,1035911,778,0.000751,4.177572,low,65536,./data/udp_test/A/iperf_udp_sample_000011_leaf01_to_leaf05_A.json
12,udp,A,leaf01,192.168.200.7,leaf05,192.168.200.11,2097152,262144,30,250000000.0,937500000,1035911,170,0.000165,4.457728,low,65536,./data/udp_test/A/iperf_udp_sample_000012_leaf01_to_leaf05_A.json
13,udp,A,leaf01,192.168.200.7,leaf06,192.168.200.12,2097152,131072,30,250000000.0,937500000,1035911,96,9.4e-05,4.420165,low,65536,./data/udp_test/A/iperf_udp_sample_000013_leaf01_to_leaf06_A.json
14,udp,A,leaf01,192.168.200.7,leaf06,192.168.200.12,2097152,131072,30,250000000.0,937500000,1035911,481,0.000465,4.229986,low,65536,./data/udp_test/A/iperf_udp_sample_000014_leaf01_to_leaf06_A.json
15,udp,A,leaf01,192.168.200.7,leaf06,192.168.200.12,2097152,131072,30,250000000.0,937500000,1035911,675,0.000652,4.447756,low,65536,./data/udp_test/A/iperf_udp_sample_000015_leaf01_to_leaf06_A.json
16,udp,A,leaf01,192.168.200.7,leaf07,192.168.200.13,2097152,131072,30,250000000.0,937500000,1035911,369,0.000356,4.209912,low,65536,./data/udp_test/A/iperf_udp_sample_000016_leaf01_to_leaf07_A.json
17,udp,A,leaf01,192.168.200.7,leaf07,192.168.200.13,2097152,131072,30,250000000.0,937500000,1035911,209,0.000203,4.036476,low,65536,./data/udp_test/A/iperf_udp_sample_000017_leaf01_to_leaf07_A.json
18,udp,A,leaf01,192.168.200.7,leaf07,192.168.200.13,2097152,131072,30,250000000.0,937500000,1035911,129,0.000125,4.107237,low,65536,./data/udp_test/A/iperf_udp_sample_000018_leaf01_to_leaf07_A.json
19,udp,A,leaf01,192.168.200.7,leaf08,192.168.200.14,2097152,131072,30,250000000.0,937500000,1035911,1019,0.000984,4.264645,low,65536,./data/udp_test/A/iperf_udp_sample_000019_leaf01_to_leaf08_A.json
20,udp,A,leaf01,192.168.200.7,leaf08,192.168.200.14,2097152,131072,30,250000000.0,937500000,1035911,759,0.000734,4.30373,low,65536,./data/udp_test/A/iperf_udp_sample_000020_leaf01_to_leaf08_A.json
21,udp,A,leaf01,192.168.200.7,leaf08,192.168.200.14,2097152,131072,30,250000000.0,937500000,1035911,254,0.000245,4.337739,low,65536,./data/udp_test/A/iperf_udp_sample_000021_leaf01_to_leaf08_A.json
22,udp,A,leaf01,192.168.200.7,server01-1,192.168.200.15,2097152,2097152,30,250000000.0,937500000,1035911,506,0.000489,2.002321,low,65536,./data/udp_test/A/iperf_udp_sample_000022_leaf01_to_server01-1_A.json
23,udp,A,leaf01,192.168.200.7,server01-1,192.168.200.15,2097152,2097152,30,250000000.0,937500000,1035911,23,2.3e-05,2.106281,low,65536,./data/udp_test/A/iperf_udp_sample_000023_leaf01_to_server01-1_A.json
24,udp,A,leaf01,192.168.200.7,server01-1,192.168.200.15,2097152,2097152,30,250000000.0,937500000,1035911,601,0.000581,2.20191,low,65536,./data/udp_test/A/iperf_udp_sample_000024_leaf01_to_server01-1_A.json
25,udp,A,leaf01,192.168.200.7,server01-2,192.168.200.16,2097152,65536,30,250000000.0,937500000,1035911,3,3e-06,2.17473,low,65536,./data/udp_test/A/iperf_udp_sample_000025_leaf01_to_server01-2_A.json
26,udp,A,leaf01,192.168.200.7,server01-2,192.168.200.16,2097152,65536,30,250000000.0,937500000,1035911,719,0.000695,2.095774,low,65536,./data/udp_test/A/iperf_udp_sample_000026_leaf01_to_server01-2_A.json
27,udp,A,leaf01,192.168.200.7,server01-2,192.168.200.16,2097152,65536,30,250000000.0,937500000,1035911,544,0.000525,2.215193,low,65536,./data/udp_test/A/iperf_udp_sample_000027_leaf01_to_server01-2_A.json
28,udp,A,leaf01,192.168.200.7,server01-3,192.168.200.17,2097152,2097152,30,250000000.0,937500000,1035911,101,9.8e-05,2.156814,low,65536,./data/udp_test/A/iperf_udp_sample_000028_leaf01_to_server01-3_A.json
29,udp,A,leaf01,192.168.200.7,server01-3,192.168.200.17,2097152,2097152,30,250000000.0,937500000,1035911,391,0.000378,2.235487,low,65536,./data/udp_test/A/iperf_udp_sample_000029_leaf01_to_server01-3_A.json
30,udp,A,leaf01,192.168.200.7,server01-3,192.168.200.17,2097152,2097152,30,250000000.0,937500000,1035911,119,0.000115,2.052069,low,65536,./data/udp_test/A/iperf_udp_sample_000030_leaf01_to_server01-3_A.json
31,udp,A,leaf01,192.168.200.7,server01-4,192.168.200.18,2097152,2097152,30,250000000.0,937500000,1035911,573,0.000553,2.096187,low,65536,./data/udp_test/A/iperf_udp_sample_000031_leaf01_to_server01-4_A.json
32,udp,A,leaf01,192.168.200.7,server01-4,192.168.200.18,2097152,2097152,30,250000000.0,937500000,1035911,116,0.000112,2.023498,low,65536,./data/udp_test/A/iperf_udp_sample_000032_leaf01_to_server01-4_A.json
33,udp,A,leaf01,192.168.200.7,server01-4,192.168.200.18,2097152,2097152,30,250000000.0,937500000,1035911,996,0.000962,2.238726,low,65536,./data/udp_test/A/iperf_udp_sample_000033_leaf01_to_server01-4_A.json
